movie,recommendations
Jupiter's Legacy,"Talladega Nights: The Ballad of Ricky Bobby, Walking Out, Star-Crossed, Before I Fall, The Exception, Fronteras, My Tattoo Addiction, Miles Davis: Birth of the Cool, Challenger, Challenger"
Killer Klowns from Outer Space,"Inside the Mind of a Serial Killer, Fools Rush In, Wolves, Wolves, The Princess and the Frog, Keymon and Nani in Space Adventure, Race to Witch Mountain, The Texas Chainsaw Massacre, The Texas Chainsaw Massacre, Charlotte's Web"
K.O.3an Guo,"K.O.3an Guo, K.O. One Re-act, The Perfect Match, The Devil Punisher, The Devil Punisher, Love Storm, Love Storm, Love Storm, Unchained Fate, Unchained Fate"
Bountiful Blessings,"Bountiful Blessings, The Family Court, Yes We Can!, The Dream Catchers, Together, This Is Not What I Expected, One More Time, At the Dolphin Bay, At the Dolphin Bay, Once Upon A Time In Lingjian Mountain"
The Minions of Midas,"El desconocido, Vientos de agua, The Laws of Thermodynamics, The Apostate, La ley de Herodes, Velvet Colección, A Second Chance, Even the Rain, The Vault, Criminal: Spain"
The Fear,"Ozark, Ozark, Safe, The Innocence Files, Penny Dreadful, Penny Dreadful, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, 6 Years, 6 Years, Love Is a Story"
The K2,"Record of Youth, Hospital Playlist, My Sassy Girl, Save Me, Arthdal Chronicles, 100 Days My Prince, My First First Love, Second 20s, Svaha: The Sixth Finger, Miss Panda & Mr. Hedgehog"
Dexter,"Revenge of the Green Dragons, Rust Valley Restorers, Rust Valley Restorers, The Exception, Audible, Safe, Tallulah, Power Rangers Super Megaforce, Django Unchained, Amy"
Pablo Escobar el patrón del mal,"The Great Heist, Undercover Law, Vientos de agua, Las muñecas de la mafia, Orbiter 9, Asu Mare 2, The Road to Love, The Road to Love, The Day I Met El Chapo, El final del paraíso"
El desconocido,"The Minions of Midas, A Twelve Year Night, Alejandro Sanz: What I Was Is What I Am, Fugitiva, The Road to Love, The Road to Love, Martin Matte: La vie la mort...eh la la..!, El Cartel, Héroes, The Laws of Thermodynamics"
Midnight Mass,"The Haunting of Bly Manor, Happy Anniversary, The Crystal Calls Making the Dark Crystal: Age of Resistance, The Crystal Calls Making the Dark Crystal: Age of Resistance, Walking Out, Nowhere Boy, Bulbbul, Anjaam, The Blue Umbrella, Puss in Boots"
Mary Portas: Secret Shopper,"Big Stone Gap, Surviving Death, ICarly, Shiva: The Secret World Of Vedas City, The Sons of Sam: A Descent into Darkness, Selling Sunset, Twinsanity, Twinsanity, Loaded, Glowing Embers"
Nadiya Bakes,"The Big Family Cooking Showdown, Fifty Year Old Teenager, Khoon Khoon, Bill Nye Saves the World, Beyond the Boundary: ICC Women's T20 World Cup Australia 2020, Umrika, Pizza, Black Friday, Ankahi Kahaniya, 99 Songs"
Home for Christmas,"Susanne Bartsch: On Top, Quicksand, L.A.’s Finest, L.A.’s Finest, Strong, Ram Dass Going Home, 1BR, Undercover, Hannibal, Hannibal"
Last,"My Only Love Song, Record of Youth, Cheese in the Trap, Racket Boys, Another Miss Oh, Another Miss Oh, Save Me, My Shy Boss, Svaha: The Sixth Finger, The Call"
A Perfect Crime,"A Perfect Crime, Sam Smith: Love Goes - Live at Abbey Road Studios, Monty Python's Fliegender Zirkus, The Perfect Match, My Perfect Landing, Arisan 2, Unknown, Offspring, Rattlesnake, Rattlesnake"
My Life My Story,"My Life My Story, Life Sentence, Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese, The Rational Life, Life 2.0, Love Is a Story, Love Is a Story, Chris Brown: Welcome to My Life, Bhaji In Problem, The Human Factor: The Untold Story of the Bombay Film Orchestras"
A Love So Beautiful,"Rampant, My Only Love Song, Crash Landing on You, Beating Again, Beating Again, Rugal, Save Me, Bring It On Ghost, Itaewon Class, Another Miss Oh"
Money for Nothing,"Beethoven's 2nd, Beethoven's 2nd, Fear and Loathing in Las Vegas, Tremors 6: A Cold Day in Hell, Star Wars: Episode VIII: The Last Jedi, Tremors 2: Aftershocks, Tremors 2: Aftershocks, Atypical, I'm in Love with a Church Girl, Hellboy"
21 Thunder,"21 Thunder, Mean Dreams, Barbie Princess Adventure, My Life My Story, My Life My Story, Love O2O, The Christmas Project, Aussie Gold Hunters, Yoko, Kevin James: Never Don't Give Up"
Love Storm,"Love Storm, Love Storm, On Children, On Children, PILI Fantasy: War of Dragons, A House of Blocks, A House of Blocks, K.O.3an Guo, K.O.3an Guo, The Devil Punisher"
Crazy Lovely Cool,"Couple of Days, 3Below: Tales of Arcadia, Heart & Soul, Miles Davis: Birth of the Cool, Dostana, Magnetic, Deep Blue Sea, Deep Blue Sea, P. King Duckling, Crazy Ex-Girlfriend"
Making a Murderer,"Making a Murderer, Son of a Gun, Star Trek: Deep Space Nine, Star Trek: Deep Space Nine, Albion: The Enchanted Stallion, The Making of Frozen Planet, Comedians in Cars Getting Coffee, Jerry Seinfeld: 23 Hours To Kill, MeatEater, The Women and the Murderer"
El final del paraíso,"Sin Senos sí Hay Paraíso, Sin senos no hay paraíso, La Viuda Negra, El Cartel, The Great Heist, La Reina del Sur, Lady la vendedora de rosas, Lady la vendedora de rosas, Ready to Mingle, 7 años"
Record of Ragnarok,"Record of Ragnarok, Fate/Zero, Godzilla, GODZILLA The Planet Eater, Record of Grancrest War, JoJo's Bizarre Adventure, The Irregular at Magic High School, Sirius the Jaeger, Sirius the Jaeger, Akame ga Kill!"
Rectify,"Rectify, #Roxy, Lavell Crawford: Can a Brother Get Some Love?, The Package, Silent Hill: Revelation, Tears of the Sun, Sam Smith: Love Goes - Live at Abbey Road Studios, Banana Split, Walking Out, Yours Sincerely Kanan Gill"
Bloodline,"Dead to Me, Tremors 5:  Bloodline, Blown Away, Hap and Leonard, Carrie, Russian Doll, Russian Doll, W.E., The Super, The Super"
Elisa & Marcela,"The Road to Love, The Road to Love, Criminal: Spain, Locked Up, Locked Up, The Tree of Blood, Boi, Vince and Kath and James, Fugitiva, La Viuda Negra"
Dead Set,"Dead Set, Kevin James: Never Don't Give Up, Love Rosie, My Dead Ex, Chris Brown: Welcome to My Life, Brené Brown: The Call to Courage, A Christmas Prince: The Royal Baby, Race to Witch Mountain, The Andy Griffith Show, Safe"
Chambers,"Scandal, Kid Cosmic, Food on the Go, Tarzan, Haven, Haven, Black Friday, Little Miss Sumo, Penalty, Last Tango in Halifax"
MINDHUNTER,"Stephanie, The Ice Road, Hannah Gadsby: Douglas, Sam Smith: Love Goes - Live at Abbey Road Studios, Banana Split, Walking Out, Breaking Bad, City in the Sky, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Nurse Jackie"
The Platform,"The Dealer, Children of Adam, The Emigrant, Grandmother's Farm, The Player, Destiny, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Khawatir, The Blue Elephant 2"
13 Reasons Why,"13 Reasons Why, 13 Reasons Why, 13 Reasons Why: Beyond the Reasons, Blue Ruin, Diana: 7 Days That Shook the World, Amy, Miles Davis: Birth of the Cool, Princess Cyd, La Reina del Sur, The Open House"
Star-Crossed,"Man with a Plan, Audible, The Talented Mr. Ripley, Jupiter's Legacy, Rust Valley Restorers, Rust Valley Restorers, Aussie Gold Hunters, All Good Ones Get Away, Whose Streets?, What's New Scooby-Doo?"
ThirTEEN Terrors,"ThirTEEN Terrors, ThirTEEN Terrors, The Stranded, The Stranded, The Stranded, The Stranded, Bangkok Love Stories: Innocence, Bangkok Buddies, Breaking Bad, NOVA: Bird Brain"
House of Cards,"House of Cards, True Grit, True Grit, True Grit, Superman Returns, The Joel McHale Show with Joel McHale, Afflicted, In Defense of a Married Man, Yours Sincerely Kanan Gill, Being Elmo: A Puppeteer's Journey"
Jack Whitehall: Travels with My Father,"Jack Whitehall: Christmas with My Father, We Are the Champions, Kid Cosmic, Manifest, Lifechanger, Lifechanger, Balto, Mars Attacks!, Godless, The Dragon Prince"
Second 20s,"Racket Boys, Mystic Pop-up Bar, My First First Love, Rugal, Svaha: The Sixth Finger, Color of Woman, Law School, My Sassy Girl, Immortal Classic, Immortal Classic"
CAROLE & TUESDAY,"CAROLE & TUESDAY, Godzilla, GODZILLA The Planet Eater, Angel Beats!, Angel Beats!, The Seven Deadly Sins, The Seven Deadly Sins, NiNoKuni, Haikyu!!, Anohana: The Flower We Saw That Day"
The Last Word,"The Heretics, Killer Inside: The Mind of Aaron Hernandez, NSU German History X, Raising Dion, Morris from America, The Net, Latte and the Magic Waterstone, Apaches, Apaches, Containment"
Sword Art Online Alternative: Gun Gale Online,"Hi Score Girl, Hi Score Girl, 7SEEDS, K-On!, K-On!, ID-0, Violet Evergarden: Special, Violet Evergarden: Special, Erased, Erased"
Wartime Portraits,"Wartime Portraits, The spiral, Christmas Inheritance, The Prince & Me, 1983, Team Kaylie, Inkheart, Inkheart, The November Man, The 100"
Hasmukh,"Vir Das: Losing It, Ram Teri Ganga Maili, Gollu Aur Pappu, Mimi, Beyond All Boundaries, Dedh Ishqiya, Ankhon Dekhi, Gunjan Saxena: The Kargil Girl, Golmaal Returns, Golmaal Returns"
Bitten,"A Very Country Christmas, V Wars, Kingdoms of the Sky, Christmas Inheritance, Voices of Fire, Tremors 6: A Cold Day in Hell, Marriage or Mortgage, Barbie Star Light Adventure, Katt Williams: The Pimp Chronicles: Pt. 1, The Silence"
Johnny Test,"Polly Pocket, We're Lalaloopsy, Animal Crackers, LEGO Marvel Super Heroes: Guardians of the Galaxy, Win the Wilderness, Win the Wilderness, Mr. Young, Mune: Guardian of the Moon, LEGO Marvel Super Heroes: Black Panther, He-Man and the Masters of the Universe"
Palazuelos mi rey,"Don't be the First one, Don't be the First one, The Last Runway, The Last Runway, Hache, Q Ball, Borges, Borges, Deep Blue Sea, Deep Blue Sea"
Chashme Buddoor,"Kyo Kii... Main Jhuth Nahin Bolta, ABCD 2, Chalte Chalte, Chalte Chalte, Fida, Neevevaro, C Kkompany, Haseen Dillruba, Jab Harry Met Sejal, Andaz Apna Apna"
A Sort of Family,"The Apostate, Romina, On My Block, The Kingdom, Daniel Sloss: Live Shows, Growing up and other problems, The Big Family Cooking Showdown, Norm of the North: Family Vacation, My Babysitter's a Vampire, American Murder: The Family Next Door"
Sarvam Thaala Mayam (Telugu Version),"Little Singham: Mahabali, Cycle, Bheemayan, Little Singham: Kaal Ki Tabaahi, Swami Baba Ramdev: The Untold Story, Super Nani, Mersal, TE3N, Ek Jaan Hain Hum, Indian Matchmaking"
The Salvation,"The Game Changers, The Healer, Hannibal, Hannibal, Skylines, Tracy Morgan: Staying Alive, Democrats, Johnny Test, Inhuman Resources, Penny Dreadful"
5 Star Christmas,"My Amanda, Sing On! Spain, The Magicians, Chef's Table, 48 Christmas Wishes, Rattlesnake, Rattlesnake, Kidnapping Stella, The Assassination of Gianni Versace, Arrested Development"
One Lagos Night,"Ojukokoro: Greed, The Whole Nine Yards, Aussie Gold Hunters, Jimmy Carr: The Best of Ultimate Gold Greatest Hits, GoodFellas, Going for Gold, Motu Patlu in the City of Gold, Our Souls at Night, It Comes at Night, The 8th Night"
Sam Smith: Love Goes - Live at Abbey Road Studios,"Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Walking Out, Planet Hulk, Trolls: The Beat Goes On!, Nightflyers, Revolutionary Road, Final Destination, 72 Dangerous Places to Live, Sleepover, Revelations: The Masters of the Universe: Revelation Aftershow"
Belief: The Possession of Janet Moses,"The Devil and Father Amorth, The Devil and Father Amorth, The Devil and Father Amorth, Miles Davis: Birth of the Cool, Containment, Final Destination 2, Final Destination 2, My Next Guest Needs No Introduction With David Letterman, My Next Guest Needs No Introduction With David Letterman, The Exception"
Numbered,"Holy Goalie, Even the Rain, The Minions of Midas, Narcoworld: Dope Stories, Holy Camp!, Narcos: Mexico, War on Everyone, Ash vs. Evil Dead, Homemade, Edgar Rice Burroughs' Tarzan and Jane"
La ley de Herodes,"Monarca, Someone Has to Die, La Viuda Negra, Playing with Fire, An Unremarkable Christmas, Fugitiva, Camelia la Texana, Narcoworld: Dope Stories, Señora Acero, Undercover Law"
Kon-Tiki,"Kon Kon Kon, Ares, Little Miss Sumo, A Fortunate Man, Not Alone, Marcella, City in the Sky, Eastsiders, Chef's Table, The Adventure Club"
Age Gap Love,"Age of Tanks, Love on the Spectrum, Love on the Spectrum, The Talented Mr. Ripley, My Country: The New Age, The Crystal Calls Making the Dark Crystal: Age of Resistance, The Crystal Calls Making the Dark Crystal: Age of Resistance, Big Stone Gap, The Age of Shadows, Chitty Chitty Bang Bang"
Skin Wars: Fresh Paint,"Skin Wars, Someone Great, Chicago Party Aunt, V Wars, Star Wars: Episode VIII: The Last Jedi, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap"
Win the Wilderness,"Win the Wilderness, Johnny Test, Mr. Young, Polly Pocket, Inhuman Resources, True: Rainbow Rescue, Lost Bullet, Fools Rush In, Eden, Call My Agent!"
Ainori Love Wagon: African Journey,"Ainori Love Wagon: African Journey, Shiva: Journey to Plunotaria, Being Elmo: A Puppeteer's Journey, Love Like the Falling Rain, Borges, Borges, Love on the Spectrum, Love on the Spectrum, Puella Magi Madoka Magica, Puella Magi Madoka Magica"
Rust Valley Restorers,"Rust Valley Restorers, Audible, Safe, Drugs Inc., Evil Genius, Dexter, Yu-Gi-Oh! Arc-V, Star-Crossed, We Are the Champions, The Mitchells vs. The Machines"
Blown Away,"Dream Big: Engineering Our World, Seventh Son, The Crying Game, Platoon, Rhyme Time Town, Bloodline, All About Nina, Rize, All Good Ones Get Away, 44 Cats"
We Are the Champions,"Chris Brown: Welcome to My Life, Mortal Kombat, A Night at the Roxbury, A Night at the Roxbury, Between Maybes, Whose Vote Counts Explained, American Crime, Brené Brown: The Call to Courage, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Katt Williams: The Pimp Chronicles: Pt. 1"
Man vs Wild with Sunny Leone,"Man vs Wild with Sunny Leone, Beiimaan Love, Once Upon a Time in America, Once Upon a Time in America, Wild Wild Country, Growing Up Wild, Wild Wild West, Two Lovers and a Bear, Man to Man, AK vs AK"
Rica Famosa Latina,"The Baker and the Beauty, The Baker and the Beauty, Brené Brown: The Call to Courage, Farce, Jaguar, The Day I Met El Chapo, Héroes, Inuyasha the Movie - La spada del dominatore del mondo, Inuyasha the Movie - La spada del dominatore del mondo, Vivo"
Chasing Monsters,"Chasing Monsters, Super Monsters Furever Friends, The Stronghold, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years"
Tiger King: Murder Mayhem and Madness,"Holiday in the Wild, Murder Mountain, How to Get Away with Murder, Backcountry, The Andy Griffith Show, Harold Shipman - Driven to Kill, All Hail King Julien: Exiled, Jimi Hendrix, Jimi Hendrix, Love Death & Robots"
Drugs Inc.,"Rust Valley Restorers, Rust Valley Restorers, We Are the Champions, The Mitchells vs. The Machines, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Brews Brothers, Brews Brothers, Murder Mountain, Challenger, Challenger"
Harold Shipman - Driven to Kill,"Inside the Mind of a Serial Killer, Evil Genius, Kill la Kill, Kill la Kill, All Hail King Julien: Exiled, Jerry Seinfeld: 23 Hours To Kill, Tiger King: Murder Mayhem and Madness, Border Security: America's Front Line, P. King Duckling, Akame ga Kill!"
The Haunted Hathaways,"The Haunted Hathaways, Rotten, Rotten, Fear Street Part 3: 1666, The River Wild, Styling Hollywood, Postcards from London, Lola Igna, Spirit Riding Free: Riding Academy, Haunted"
Switched,"Record of Ragnarok, Record of Ragnarok, Record of Grancrest War, Ingress: The Animation, Altered Carbon: Resleeved, Altered Carbon: Resleeved, EVANGELION: DEATH (TRUE)², Spiritual House, Spiritual House, Spiritual House"
THE UNLISTED,"THE UNLISTED, My Birthday Song, Made in China, Boss, Chris Brown: Welcome to My Life, Brené Brown: The Call to Courage, Sugar Rush Christmas, Bareilly Ki Barfi, Tayee, Shaitan"
Running Man,"Running Man, Bring It On Ghost, Vroomiz, Bread Barbershop, Titipo Titipo, Titipo Titipo, Rampant, My Only Love Song, Crash Landing on You, Racket Boys"
City in the Sky,"Hannah Gadsby: Douglas, Kingdoms of the Sky, Shiva: The Secret World Of Vedas City, Thaandavam, Manifest, V for Vendetta, Sky Tour: The Movie, My Dead Ex, The Sky Is Pink, The Sky Is Pink"
Criminal Minds,"Life After Beth, Joe Mande’s Award-Winning Comedy Special, Heartbreakers, Love Now, Man with a Plan, The Flintstones in Viva Rock Vegas, Wheels of Fortune, Unrest, Street Food, Street Food"
The Damned Rain,"Tukaram, Badha, Ugly, Aashik Awara, Hum Saath-Saath Hain, Iqbal, Is Love Enough? Sir, Taj Mahal 1989, Chhota Bheem Kungfu Dhamaka, Pyaar Tune Kya Kiya"
Free Rein: Valentine's Day,"Locombianos, Tears of the Sun, Shadow and Bone, The Day I Met El Chapo, Enter the Dragon, Breaking Free, HOMECOMING: A film by Beyoncé, All Day and a Night, The Package, Stranger Things"
The Walls of the Moon,"Valentino, Tayee, Grandmother's Farm, Kalek Shanab, Grandmother's Farm Part 2, Grandmother's Farm Part 2, It's Fine, The Knight and the Princess, The Right One, Hajwala 2: Mysterious Mission"
Kurt Seyit & Sura,"Rise of Empires: Ottoman, Immortals, Kalek Shanab, Grandmother's Farm, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Mr. Young, Train of the Dead, Main Hoon Na, The International Player"
#FriendButMarried 2,"Breaking Boundaries: The Science Of Our Planet, Devil's Gate, Thomas & Friends: Marvelous Machinery: A New Arrival, Jalpari: The Desert Mermaid, Inspector Gadget, Inspector Gadget, Going for Gold, Myth & Mogul: John DeLorean, Losing Sight of Shore, Milestone"
The Disaster Artist,"The Interview, Down to Earth with Zac Efron, The Ballad of Buster Scruggs, The Package, Halston, Kevin James: Never Don't Give Up, The Adderall Diaries, Women Behind Bars, Kung Fu Panda: Secrets of the Scroll, Dark City Beneath the Beat"
Jaws,"Jaws 2, Paranoia, Indiana Jones and the Last Crusade, P. King Duckling, The Natural, Monster Hunter: Legends of the Guild, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, V Wars, My Entire High School Sinking Into the Sea"
The Ballad of Buster Scruggs,"The Nut Job, The Nut Job, The Joel McHale Show with Joel McHale, The Monster, The Disaster Artist, The Christmas Project, Revolutionary Road, Tim Minchin: So F**king Rock, 48 Christmas Wishes, The Ice Road"
13 Reasons Why: Beyond the Reasons,"13 Reasons Why, 13 Reasons Why, 13 Reasons Why, The Game Changers, Susanne Bartsch: On Top, Love Death & Robots, Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Love Now, Selfless"
Nasha,"Running Shaadi, Motu Patlu in the City of Gold, The Blue Umbrella, Akbar Birbal, Anjaan: Rural Myths, Buddha, Kota Factory, Sohni Mahiwal, Sardar Ka Grandson, Jagga Jasoos"
Growing up and other problems,"Alejandro Sanz: What I Was Is What I Am, Growing Up Wild, Franca: Chaos and Creation, The Laws of Thermodynamics, The Road to Love, The Road to Love, Heist, A Sort of Family, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth"
Franca: Chaos and Creation,"Growing up and other problems, Platoon, Suburra: Blood on Rome, Kevyn Aucoin: Beauty & the Beast in Me, Beyblade Burst, Beyblade Burst Evolution, Joseph: King of Dreams, Backcountry, City in the Sky, Valentino"
Jimi Hendrix,"Jimi Hendrix, ReMastered: Devil at the Crossroads, 2036 Origin Unknown, 2036 Origin Unknown, Joe Mande’s Award-Winning Comedy Special, Disenchantment, American Outlaws, Tiger King: Murder Mayhem and Madness, Rocko's Modern Life: Static Cling, Atypical"
Bad Blood,"Bad Blood, GoodFellas, October Faction, Resident Evil: Afterlife, Badland, There Will Be Blood, Michelle Buteau: Welcome to Buteaupia, Jane The Virgin, Big Stone Gap, The Adventure Club"
Manhunt: Deadly Games,"All Day and a Night, Empire Games, Diagnosis, DEATH NOTE, DEATH NOTE, Norm of the North: Family Vacation, Nights in Rodanthe, Nights in Rodanthe, Revolutionary Road, Sword of Trust"
Count Me In,"Full Count, Frank and Cindy, Operation Mekong, This Is a Robbery: The World's Biggest Art Heist, Lifechanger, Lifechanger, Going for Gold, My Amanda, Sword Art Online Alternative: Gun Gale Online, Head Count"
Blood & Water,"Diamond City, Diamond City, Diamond City, Kings of Jo'Burg, There Will Be Blood, Barbie Star Light Adventure, Voices of Fire, Marriage or Mortgage, Katt Williams: The Pimp Chronicles: Pt. 1, The Whole Nine Yards"
La Viuda Negra,"Las muñecas de la mafia, El final del paraíso, Dad Wanted, Ready to Mingle, Sin senos no hay paraíso, La Leyenda del Diamante, La ley de Herodes, Coco y Raulito: Carrusel de ternura, Playing with Fire, Monarca"
The Haunting of Bly Manor,"Midnight Mass, The Healer, Good Hair, A Christmas Prince: The Royal Baby, Happy Anniversary, Romina, Nurse Jackie, She's the One, 44 Cats, My Dead Ex"
The Unicorn,"The Unicorn, Under the Eiffel Tower, Escape from Planet Earth, Sword of Trust, Holiday in the Wild, Shooter, Cleverman, Go! Go! Cory Carson: Chrissy Takes the Wheel, Elite Short Stories: Omar Ander Alexis, My Entire High School Sinking Into the Sea"
How to Change the World,"Comedians in Cars Getting Coffee, Jerry Seinfeld: 23 Hours To Kill, Wheels of Fortune, Edge of Fear, Charlie's Angels: Full Throttle, Weird Wonders of the World, Genius of the Ancient World, Empire Games, Jim Gaffigan: Cinco, Enter the Dragon"
The Letter for the King,"Mary and the Witch's Flower, Bo Burnham: Inside, Bo Burnham: Make Happy, The New Legends of Monkey, The New Legends of Monkey, The New Legends of Monkey, The New Legends of Monkey, 1 Mile to You, Evan Almighty, Mary Poppins Returns"
Hum Aapke Hain Koun,"Hum Saath-Saath Hain, Bucket List, Kyo Kii... Main Jhuth Nahin Bolta, Main Hoon Na, Aashik Awara, Dedh Ishqiya, Anjaam, Chance Pe Dance, Ek Jaan Hain Hum, Chashme Buddoor"
Aziz Ansari Live at Madison Square Garden,"Aziz Ansari: RIGHT NOW, Aziz Ansari: RIGHT NOW, Master of None, Master of None, The International Player, Chalte Chalte, Chalte Chalte, The Blue Elephant 2, It's Fine, Cathedral of the Sea"
Masters of the Universe: Revelation,"Revelations: The Masters of the Universe: Revelation Aftershow, Revelations: The Masters of the Universe: Revelation Aftershow, Tusk, Trollhunters, He-Man and the Masters of the Universe, Kevin James: Never Don't Give Up, The Dark Crystal: Age of Resistance, Planet Hulk, Final Destination, Yoko"
Bo Burnham: Make Happy,"Bo Burnham: Inside, Oh My Ghost, My Only Love Song, Spark, God of War, K.O.3an Guo, K.O.3an Guo, Itaewon Class, K.O. One Re-act, The Letter for the King"
Marc Maron: End Times Fun,"Sword of Trust, Frank and Cindy, The Least Expected Day: Inside the Movistar Team 2019, P. King Duckling, Alone, Safe, Outside In, Borges, Borges, The Monster"
Gina Yashere: Laughing to America,"Gina Yashere: Laughing to America, Kath and Kim, Jane The Virgin, Carmen Sandiego, Haywire, Someone Great, The Little Mermaid, Act of Vengeance, The Lamb, Border Security: America's Front Line"
Maharakshak: Aryan,"Beyond All Boundaries, Penalty, Maharakshak Devi, Agent Raghav, Agent Raghav, Buddha, Swami Baba Ramdev: The Untold Story, Sardar Ka Grandson, Mersal, Liar's Dice"
Colin Quinn: Unconstitutional,"Colin Quinn: Red State Blue State, American Outlaws, Yoko, The Staircase, Miss Julie, Heavy, Todd Glass: Stand-Up Special, Platoon, A Week Away, Merlin"
Motown Magic,"Motown Magic, Magic for Humans, Latte and the Magic Waterstone, Walking Out, Breaking Bad, The Hunt, Everyday I Love You, The Society, The Society, The Society"
Spiritual House,"Spiritual House, Spiritual House, Godzilla, Kill la Kill, Kill la Kill, GODZILLA The Planet Eater, Haikyu!!, Atelier, John of God: The Crimes of a Spiritual Healer, The Forest"
